dog        - cachorro   - hund
cat        - gato       - katt
cow        - vaca       - ku
horse      - cavalo     - hest
pig        - porco      - gris
lion       - leon       - løve
tiger      - tigre      - tiger
elephant   - elefante   - elefant
giraffe    - girafa     - sjiraff
fish       - peixe      - fisk
bird       - pasarro    - fugl
whale      - baleia     - hval
shark      - tubaron    - hai
lizard     - lagarto    - øgle
bear       - urso       - bjørn
moose      - alce       - elg
deer       - veado      - rådyr
fox        - raposa     - rev
wolf       - lobo       - ulv
fly        - mosca      - flue
